Date,Date Processed,Description,Amount
15 Feb 2026,15 Feb 2026,ANNUAL MEMBERSHIP FEE,9.99
15 Feb 2026,15 Feb 2026,CLOUD SUBSCRIPTION SVC,31.59
14 Feb 2026,14 Feb 2026,ONLINE RETAILER CA*896S171F3,86.77
14 Feb 2026,14 Feb 2026,PAYMENT RECEIVED - THANK YOU,-130.37
12 Feb 2026,12 Feb 2026,GROCERY DELIVERY SVC,-5.00
10 Feb 2026,11 Feb 2026,IC* GROCERY DELIVERY   HALIFAX,64.48
09 Feb 2026,09 Feb 2026,PASSWORD MGR SUBSCRIPTION,7.91
08 Feb 2026,14 Feb 2026,MOBILE DATA CHARGE,1.96
08 Feb 2026,09 Feb 2026,RESTAURANT HERO BISTRO   VANCOUVER,10.00
07 Feb 2026,08 Feb 2026,PHARMACY CHAIN 224 VANCOUVER,48.28
04 Feb 2026,04 Feb 2026,PAYMENT RECEIVED - THANK YOU,-332.02
31 Jan 2026,01 Feb 2026,TRANSIT VENDING BURNABY,16.00
31 Jan 2026,02 Feb 2026,SPORTING GOODS RETAILER,85.12
31 Jan 2026,07 Feb 2026,MOBILE DATA CHARGE,4.70
31 Jan 2026,31 Jan 2026,PAYMENT RECEIVED - THANK YOU,-524.61
31 Jan 2026,31 Jan 2026,SHOE STORE DUNDAS,226.80
