Date,Date Processed,Description,Amount
15-Jun-25,15-Jun-25,MEMBERSHIP FEE INSTALLMENT,9.99
14-Jun-25,15-Jun-25,LCBO/RAO #0025 DUNDAS   DUNDAS,59
13-Jun-25,14-Jun-25,SPOTHERO 844-356-8054   VANCOUVER,8.75
15-Feb-26,15-Feb-26,MEMBERSHIP FEE INSTALLMENT,9.99
15-Feb-26,15-Feb-26,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,31.59
14-Feb-26,14-Feb-26,AMZN MKTP CA*896S171F3  866-216-1072,86.77
14-Feb-26,14-Feb-26,PAYMENT RECEIVED - THANK YOU,-130.37
12-Feb-26,12-Feb-26,INSTACART,-5.00
10-Feb-26,11-Feb-26,IC* INSTACART           HALIFAX MID-HAR,64.48
09-Feb-26,09-Feb-26,1PASSWORD               TORONTO,7.91
08-Feb-26,14-Feb-26,MOBI BY ROGERS          VANCOUVER,1.96
08-Feb-26,09-Feb-26,TST-HERO'S WELCOME      VANCOUVER,10.00
07-Feb-26,08-Feb-26,SHOPPERS DRUG MART #224 VANCOUVER,48.28
04-Feb-26,04-Feb-26,PAYMENT RECEIVED - THANK YOU,-332.02
31-Jan-26,01-Feb-26,COMPASS VENDING BURN    BURNABY,16.00
31-Jan-26,02-Feb-26,DÉCATHLON CANADA        BROSSARD,85.12
31-Jan-26,07-Feb-26,MOBI BY ROGERS          VANCOUVER,4.70
31-Jan-26,31-Jan-26,PAYMENT RECEIVED - THANK YOU,-524.61
31-Jan-26,31-Jan-26,SP TEN TOEN SHOE SHO    DUNDAS,226.80
